state,district,block,village,ifr_filed,ifr_granted,ifr_rejected,cr_filed,cr_granted,cr_rejected,cfr_filed,cfr_granted,cfr_rejected,total_area_vested,cfr_managed_area,remarks
Madhya Pradesh,Khargone,Barwani,Barwani,45,38,5,12,10,1,8,6,1,125.5,45.2,Good progress
Madhya Pradesh,Khargone,Barwani,Khargone,52,42,7,15,12,2,10,8,1,142.8,52.1,CFR management active
Madhya Pradesh,Khargone,Barwani,Dindori,38,32,4,9,8,0,6,5,0,98.3,35.7,Traditional practices
Madhya Pradesh,Khargone,Barwani,Mandla,41,35,5,11,9,1,7,6,0,112.4,41.8,Community participation
Madhya Pradesh,Khargone,Barwani,Balaghat,47,40,6,13,11,1,9,7,1,128.9,48.3,NTFP value addition
Chhattisgarh,Raipur,Gariaband,Raipur,62,55,5,18,15,2,12,10,1,165.7,62.4,Model implementation
Chhattisgarh,Raipur,Gariaband,Gariaband,58,50,6,16,14,1,11,9,1,152.3,58.9,Water conservation
Chhattisgarh,Raipur,Gariaband,Dhamtari,44,38,4,12,10,1,8,7,0,118.6,44.7,Fire management
Chhattisgarh,Raipur,Gariaband,Mahasamund,51,44,5,14,12,1,10,8,1,136.2,51.5,Soil moisture works
Chhattisgarh,Raipur,Gariaband,Baloda Bazar,39,33,4,10,9,0,7,6,0,104.8,39.2,Nursery development
Odisha,Koraput,Koraput,Koraput,55,48,5,16,14,1,11,9,1,147.9,55.6,Traditional knowledge
Odisha,Koraput,Koraput,Jeypore,49,42,5,14,12,1,9,8,0,131.4,49.3,Biodiversity conservation
Odisha,Koraput,Koraput,Nabarangpur,43,37,4,12,10,1,8,7,0,115.7,43.8,Community forest
Odisha,Koraput,Koraput,Malkangiri,46,40,4,13,11,1,9,8,0,123.6,46.1,NTFP collection
Odisha,Koraput,Koraput,Rayagada,41,35,4,11,10,0,7,6,0,110.2,41.5,Water bodies












